epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
81,13563.5,1.21632,0.77296,0.91031,0.56706,0.46527,0.46557,0.2789,1.28086,0.90875,0.94998,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
82,13729.6,1.21428,0.77032,0.90898,0.58727,0.45221,0.4647,0.27848,1.2776,0.90831,0.94853,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905
83,13895.2,1.2058,0.76634,0.90781,0.58114,0.46084,0.46446,0.2786,1.27922,0.90807,0.94879,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
84,14061.5,1.2073,0.76548,0.90837,0.58092,0.45938,0.46405,0.27879,1.27556,0.90846,0.94853,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915
85,14227.4,1.20523,0.76267,0.90709,0.57598,0.46392,0.4655,0.2789,1.27826,0.90612,0.94913,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
86,14393.9,1.20396,0.75965,0.90758,0.58536,0.46067,0.46514,0.27909,1.27686,0.90812,0.94903,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
87,14559.4,1.19833,0.75538,0.90482,0.58724,0.45744,0.46313,0.27807,1.27972,0.91218,0.94917,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
88,14725,1.19287,0.74965,0.90377,0.58395,0.45993,0.46394,0.27721,1.28135,0.91135,0.95006,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935
89,14890.7,1.19863,0.75169,0.90544,0.57433,0.46262,0.46405,0.27839,1.28018,0.91276,0.95017,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
90,15056.5,1.19582,0.75135,0.90599,0.57866,0.46102,0.46341,0.27814,1.28084,0.91578,0.95005,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945
91,15222.1,1.19314,0.74647,0.90491,0.58893,0.46036,0.46486,0.27814,1.28069,0.91364,0.94961,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
92,15388.1,1.19119,0.7435,0.90209,0.58774,0.4586,0.46495,0.2783,1.2812,0.91446,0.94994,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955
93,15553.3,1.18831,0.74145,0.90309,0.58411,0.45967,0.4642,0.27815,1.2835,0.91493,0.95052,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
94,15718.9,1.19119,0.73962,0.9035,0.58602,0.46049,0.46566,0.27888,1.28445,0.91563,0.95063,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965
95,15884.6,1.18382,0.73554,0.90247,0.58256,0.46541,0.46718,0.27951,1.28329,0.91328,0.95095,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
96,16050.1,1.18517,0.73794,0.90233,0.57958,0.46457,0.46673,0.2795,1.28335,0.91146,0.94983,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
97,16216.1,1.17894,0.73199,0.90164,0.57919,0.46113,0.4651,0.27818,1.28293,0.91329,0.94987,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
98,16381.9,1.18293,0.73011,0.89961,0.57935,0.46339,0.46481,0.27843,1.28088,0.91294,0.94867,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985
99,16548,1.17518,0.72823,0.90037,0.58038,0.46265,0.46469,0.27851,1.28178,0.91319,0.94907,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
100,16713.7,1.17408,0.72313,0.89865,0.57788,0.46445,0.46422,0.27859,1.28215,0.91365,0.94915,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995
101,16879.6,1.17442,0.72342,0.89992,0.57953,0.46142,0.46368,0.27804,1.28345,0.91242,0.95038,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
102,17045.9,1.17544,0.7222,0.89881,0.57862,0.46304,0.46321,0.27761,1.28425,0.91483,0.95057,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005
103,17211.5,1.16415,0.71692,0.89771,0.59172,0.45525,0.46354,0.27858,1.28302,0.9148,0.9504,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
104,17378.1,1.17242,0.71966,0.9008,0.57892,0.46082,0.46189,0.27726,1.28549,0.91498,0.9513,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015
105,17544.1,1.16594,0.71413,0.89747,0.57969,0.45962,0.46258,0.2769,1.28802,0.91562,0.95244,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
106,17709.4,1.16931,0.71466,0.89878,0.5892,0.45767,0.46163,0.2764,1.28665,0.91445,0.95182,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
107,17875.4,1.16477,0.7079,0.8963,0.59374,0.45613,0.46049,0.27584,1.28716,0.91509,0.95226,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
