epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
41,10801.2,0.67597,0.73551,0.58253,0.57476,0.44857,0.4518,0.2671,0.68073,0.76501,0.61529,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,11061.4,0.676,0.73412,0.58185,0.56416,0.45685,0.45566,0.27075,0.67799,0.76333,0.61504,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,11322.1,0.67732,0.73108,0.58007,0.57005,0.46011,0.45867,0.27257,0.6775,0.75738,0.61451,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,11583.9,0.6727,0.72233,0.57874,0.58006,0.44955,0.45095,0.26816,0.67806,0.75869,0.61375,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,11843.6,0.67065,0.71839,0.57857,0.57957,0.4443,0.44986,0.26725,0.67767,0.75869,0.61343,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,12105.6,0.67239,0.71731,0.57939,0.5751,0.45429,0.45559,0.27117,0.67316,0.75099,0.6113,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,12432.9,0.668,0.71155,0.57784,0.57275,0.45471,0.45416,0.26776,0.67728,0.7527,0.61207,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,12693.5,0.66954,0.71172,0.57707,0.59513,0.44657,0.46036,0.27237,0.6745,0.74627,0.61106,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,12955,0.66608,0.70453,0.57546,0.57613,0.45483,0.45732,0.27274,0.67206,0.74813,0.61067,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,13215.5,0.66296,0.70367,0.57557,0.58672,0.45156,0.45929,0.27148,0.67377,0.74831,0.61024,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
