epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
60,10407.9,1.23169,0.79864,0.9136,0.56691,0.45669,0.45855,0.2717,1.29144,0.92682,0.95281,0.0165208,0.00550692,0.0165208,0.00550692,0.0165208,0.00550692,0.0165208,0.00550692
61,10578.5,1.2245,0.78973,0.9128,0.56562,0.45723,0.45718,0.27316,1.28794,0.92613,0.95077,0.0162923,0.00543077,0.0162923,0.00543077,0.0162923,0.00543077,0.0162923,0.00543077
62,10749.6,1.22469,0.78985,0.91071,0.57587,0.45067,0.45738,0.27243,1.28883,0.9231,0.95173,0.0160638,0.00535462,0.0160638,0.00535462,0.0160638,0.00535462,0.0160638,0.00535462
63,10920.2,1.2168,0.78235,0.9113,0.55884,0.46622,0.45928,0.27339,1.28679,0.92169,0.95085,0.0158354,0.00527846,0.0158354,0.00527846,0.0158354,0.00527846,0.0158354,0.00527846
64,11091.2,1.21878,0.78272,0.91113,0.55516,0.46364,0.45615,0.27217,1.29182,0.92819,0.95202,0.0156069,0.00520231,0.0156069,0.00520231,0.0156069,0.00520231,0.0156069,0.00520231
65,11261.9,1.21462,0.77604,0.90869,0.54625,0.46848,0.45642,0.27174,1.2912,0.9249,0.95235,0.0153785,0.00512615,0.0153785,0.00512615,0.0153785,0.00512615,0.0153785,0.00512615
66,11432.3,1.21588,0.7771,0.91072,0.55999,0.45308,0.45371,0.26995,1.28696,0.92669,0.95201,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
67,11602.9,1.21615,0.77233,0.90859,0.5759,0.44832,0.45313,0.26969,1.28973,0.92768,0.95198,0.0149215,0.00497385,0.0149215,0.00497385,0.0149215,0.00497385,0.0149215,0.00497385
68,11774.9,1.21375,0.76908,0.90754,0.56441,0.4561,0.45539,0.27189,1.28808,0.92797,0.95014,0.0146931,0.00489769,0.0146931,0.00489769,0.0146931,0.00489769,0.0146931,0.00489769
69,11945.4,1.2041,0.76523,0.90746,0.56147,0.46239,0.45532,0.27089,1.28905,0.92792,0.95072,0.0144646,0.00482154,0.0144646,0.00482154,0.0144646,0.00482154,0.0144646,0.00482154
70,12116.9,1.20504,0.76112,0.90756,0.57132,0.45292,0.45481,0.2703,1.28939,0.92726,0.9508,0.0142362,0.00474538,0.0142362,0.00474538,0.0142362,0.00474538,0.0142362,0.00474538
71,12287.9,1.20282,0.75987,0.90561,0.56101,0.45888,0.45525,0.27125,1.28499,0.92983,0.95062,0.0140077,0.00466923,0.0140077,0.00466923,0.0140077,0.00466923,0.0140077,0.00466923
72,12459.1,1.20334,0.75941,0.90642,0.57289,0.44591,0.45453,0.27,1.2921,0.93143,0.95116,0.0137792,0.00459308,0.0137792,0.00459308,0.0137792,0.00459308,0.0137792,0.00459308
73,12630.2,1.19939,0.75348,0.90606,0.56093,0.45703,0.45385,0.27,1.29118,0.92932,0.95155,0.0135508,0.00451692,0.0135508,0.00451692,0.0135508,0.00451692,0.0135508,0.00451692
74,12802.7,1.20586,0.75704,0.90356,0.56008,0.45725,0.4545,0.26982,1.29112,0.93,0.95179,0.0133223,0.00444077,0.0133223,0.00444077,0.0133223,0.00444077,0.0133223,0.00444077
75,12974.2,1.18725,0.74497,0.9032,0.56777,0.45347,0.45588,0.27121,1.28959,0.93012,0.95043,0.0130938,0.00436462,0.0130938,0.00436462,0.0130938,0.00436462,0.0130938,0.00436462
