epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
40,10864.9,0.66129,0.6972,0.57509,0.5739,0.45268,0.45143,0.26813,0.67919,0.76459,0.61294,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
41,11134.9,0.65704,0.69092,0.57521,0.58432,0.44482,0.45254,0.2676,0.67947,0.7601,0.6129,0.0208615,0.00695385,0.0208615,0.00695385,0.0208615,0.00695385,0.0208615,0.00695385
42,11407.3,0.65678,0.68901,0.57457,0.58422,0.45104,0.453,0.26745,0.68059,0.75973,0.61308,0.0206331,0.00687769,0.0206331,0.00687769,0.0206331,0.00687769,0.0206331,0.00687769
43,11680,0.65854,0.68825,0.5731,0.5688,0.45598,0.45286,0.26816,0.67683,0.75723,0.61189,0.0204046,0.00680154,0.0204046,0.00680154,0.0204046,0.00680154,0.0204046,0.00680154
44,11951.9,0.65464,0.68059,0.57211,0.57185,0.46245,0.45581,0.26934,0.67867,0.75636,0.61138,0.0201762,0.00672538,0.0201762,0.00672538,0.0201762,0.00672538,0.0201762,0.00672538
45,12220.7,0.6517,0.67843,0.57187,0.57771,0.45654,0.45417,0.26791,0.67937,0.75894,0.61139,0.0199477,0.00664923,0.0199477,0.00664923,0.0199477,0.00664923,0.0199477,0.00664923
46,12490.7,0.65424,0.67754,0.57285,0.58179,0.45772,0.45833,0.27129,0.67628,0.75168,0.61011,0.0197192,0.00657308,0.0197192,0.00657308,0.0197192,0.00657308,0.0197192,0.00657308
47,12760.8,0.65015,0.67271,0.5715,0.57177,0.45193,0.45178,0.26769,0.67796,0.75777,0.60998,0.0194908,0.00649692,0.0194908,0.00649692,0.0194908,0.00649692,0.0194908,0.00649692
48,13030,0.65018,0.67143,0.57031,0.58905,0.45622,0.45905,0.27154,0.67648,0.74772,0.61021,0.0192623,0.00642077,0.0192623,0.00642077,0.0192623,0.00642077,0.0192623,0.00642077
49,13299.5,0.6477,0.66663,0.56917,0.58091,0.44924,0.45132,0.26601,0.67473,0.75453,0.60979,0.0190338,0.00634462,0.0190338,0.00634462,0.0190338,0.00634462,0.0190338,0.00634462
50,13567.1,0.64558,0.66603,0.56944,0.57566,0.45719,0.45387,0.26765,0.67563,0.75087,0.60952,0.0188054,0.00626846,0.0188054,0.00626846,0.0188054,0.00626846,0.0188054,0.00626846
51,13835.7,0.644,0.66238,0.56847,0.5769,0.45361,0.45573,0.26848,0.67465,0.74959,0.60797,0.0185769,0.00619231,0.0185769,0.00619231,0.0185769,0.00619231,0.0185769,0.00619231
52,14103.1,0.64158,0.65609,0.56872,0.58414,0.4572,0.4571,0.27041,0.67191,0.7476,0.60777,0.0183485,0.00611615,0.0183485,0.00611615,0.0183485,0.00611615,0.0183485,0.00611615
53,14372.1,0.64395,0.6593,0.56827,0.58411,0.45727,0.45971,0.27144,0.67535,0.74706,0.60817,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
54,14643.6,0.64092,0.65367,0.56643,0.5802,0.45661,0.45687,0.27041,0.67329,0.74744,0.60719,0.0178915,0.00596385,0.0178915,0.00596385,0.0178915,0.00596385,0.0178915,0.00596385
